variable,n,coef,se,OR,OR_CI_low,OR_CI_high,p_value,note
stenosis_percent,2208,2.767943868141114,0.3722011930226163,15.925854664858283,7.6786437369554426,33.03094341849918,1.032415827016131e-13,
whole_lesion_plaque_burden,2208,2.2867356026847943,0.3801273337214473,9.842754519012434,4.672525505863768,20.733929948581498,1.7910053470954355e-09,
non_calcified_plaque_burden,2208,2.9905954780161075,0.500451878389481,19.897527504696193,7.461286260842265,53.06211113731604,2.289773960849728e-09,
minimum_luminal_area_mm3,2208,-0.16560991969591396,0.028654893859657558,0.8473767146947846,0.8010976096168219,0.8963293461209806,7.493910784704323e-09,
fibrous_fatty_plaque_burden,2208,5.153321567917661,0.9515086758207486,173.00518547935255,26.799918121161326,1116.8240913061484,6.096479783166968e-08,
High-Risk Plaque Flag,2208,0.6336124771075364,0.12123914312788373,1.8844056706652133,1.4858516700760322,2.3898648856742915,1.7308731808192482e-07,
maximum_area_stenosis_percent,2208,1.361571537439507,0.26609240017915303,3.902321129234491,2.316459671600995,6.573872354594119,3.1057755620306397e-07,
maximum_diameter_stenosis_percent,2208,0.9746412447685808,0.1970760974590593,2.6502162614655562,1.8010668639808476,3.899714315443181,7.594589125322834e-07,
fibrotic_plaque_burden,2208,5.192230022437562,1.0694439749205527,179.86921841217034,22.112838072282933,1463.0838260764654,1.203415766414946e-06,
non_calcified_volume_mm3,2208,0.0014264733776045493,0.00029599368953526687,1.0014274912746965,1.0008466946501786,1.0020086249385642,1.4408476991705966e-06,
fibrous_fatty_volume_mm3,2208,0.0028018896315450594,0.0005925051972692644,1.0028058185929472,1.0016419473059786,1.0039710422557584,2.2575490509650753e-06,
whole_lesion_volume_mm3,2208,0.0010876516037414945,0.00023155521023279104,1.0010882433112516,1.0006340126323503,1.0015426801849323,2.6380529311619436e-06,
plaque_feature_count,2208,0.20440499319369523,0.04480800483087289,1.2267948964437763,1.1236506769164294,1.3394071207883327,5.071782599053408e-06,
low_attenuation_volume_mm3,2208,0.007291795567715787,0.0016191730170526989,1.0073184454447885,1.004126766516206,1.0105202693219204,6.687254787811711e-06,
low_attenuation_plaque_burden,2208,10.491886208225338,2.3365280628839784,36022.038411299785,369.58300482930474,3510949.460201662,7.1098031322686365e-06,
